Airline ID,Airline Code,Flight Number,Departure Airport Code,Arrival Airport code,Air Time,Scheduled Departure,Actual Departure,Scheduled Arrival,Actual Arrival,Delay In Minutes
308249350,WN,550,PHX,DEN,86,14:55:00+00,14:57:00+00,16:21:00+00,16:29:00+00,10
308203413,WN,550,DEN,DAY,134,17:13:00+00,17:11:00+00,19:27:00+00,19:30:00+00,1
308259552,WN,551,SMF,SNA,68,03:42:00+00,03:42:00+00,04:50:00+00,04:51:00+00,1
308238014,WN,551,MKE,LAS,193,21:24:00+00,21:29:00+00,00:37:00+00,00:47:00+00,15
308203900,WN,553,DEN,RNO,106,03:00:00+00,03:28:00+00,04:46:00+00,05:18:00+00,60
308260396,WN,553,STL,DEN,110,00:08:00+00,00:45:00+00,01:58:00+00,02:44:00+00,83
308264999,WN,553,TPA,STL,119,21:24:00+00,21:56:00+00,23:23:00+00,23:57:00+00,66
308259471,WN,554,SMF,LAX,61,17:05:00+00,17:23:00+00,18:06:00+00,18:20:00+00,32
308243584,WN,556,OAK,SEA,89,22:09:00+00,22:06:00+00,23:38:00+00,23:43:00+00,2
308254482,WN,556,SAN,OAK,66,20:20:00+00,20:20:00+00,21:26:00+00,21:19:00+00,-7
308244319,WN,557,ONT,SJC,53,01:27:00+00,02:25:00+00,02:20:00+00,03:13:00+00,111
308203604,WN,558,DEN,JAX,178,00:14:00+00,00:43:00+00,03:12:00+00,03:39:00+00,56
308180456,WN,559,ABQ,PHX,53,00:23:00+00,02:05:00+00,01:16:00+00,02:57:00+00,203
308192849,WN,559,BWI,ABQ,209,19:40:00+00,19:43:00+00,23:09:00+00,23:14:00+00,8
308192635,WN,559,BUF,BWI,48,17:54:00+00,17:58:00+00,18:42:00+00,18:46:00+00,8
308249307,WN,559,PHX,BUR,65,02:04:00+00,03:39:00+00,03:09:00+00,04:53:00+00,199
308222730,WN,56,JAN,HOU,54,23:26:00+00,23:26:00+00,00:20:00+00,00:20:00+00,0
308235914,WN,56,MDW,JAN,87,21:08:00+00,21:07:00+00,22:35:00+00,22:34:00+00,-2
308239601,WN,56,MSP,MDW,62,19:11:00+00,19:07:00+00,20:13:00+00,20:12:00+00,-5
308260486,WN,56,STL,MSP,69,17:11:00+00,17:08:00+00,18:20:00+00,18:19:00+00,-4
308189512,WN,56,BNA,MSY,66,13:09:00+00,13:13:00+00,14:15:00+00,14:22:00+00,11
308197843,WN,56,CLE,BNA,67,11:03:00+00,11:04:00+00,12:10:00+00,12:13:00+00,4
308218659,WN,56,HOU,DAL,39,01:07:00+00,01:01:00+00,01:46:00+00,01:41:00+00,-11
308256155,WN,560,SEA,PHX,152,01:51:00+00,01:51:00+00,04:23:00+00,04:14:00+00,-9
308202190,WN,561,DAL,MSY,67,17:04:00+00,17:13:00+00,18:11:00+00,18:15:00+00,13
308256815,WN,562,SFO,PHX,98,03:33:00+00,04:16:00+00,05:11:00+00,05:52:00+00,84
308185426,WN,562,ATL,SFO,266,21:51:00+00,22:49:00+00,02:17:00+00,03:21:00+00,122
308235133,WN,562,MCO,ATL,70,19:52:00+00,20:52:00+00,21:02:00+00,21:59:00+00,117
308189532,WN,562,BNA,PHL,96,14:29:00+00,14:28:00+00,16:05:00+00,16:01:00+00,-5
308218632,WN,562,HOU,BNA,94,12:12:00+00,12:13:00+00,13:46:00+00,13:47:00+00,2
308189466,WN,563,BNA,LAS,194,19:44:00+00,19:52:00+00,22:58:00+00,23:10:00+00,20
308222764,WN,563,JAX,BNA,69,17:47:00+00,17:48:00+00,18:56:00+00,18:59:00+00,4
308218707,WN,563,HOU,JAX,113,15:09:00+00,15:19:00+00,17:02:00+00,17:04:00+00,12
308254675,WN,563,SAT,HOU,36,13:48:00+00,13:47:00+00,14:24:00+00,14:23:00+00,-2
308254640,WN,564,SAT,DAL,41,11:33:00+00,11:31:00+00,12:14:00+00,12:15:00+00,-1
308209928,WN,565,EWR,MDW,100,00:39:00+00,00:51:00+00,02:19:00+00,02:28:00+00,21
308228515,WN,566,LAS,SMF,66,03:46:00+00,05:01:00+00,04:52:00+00,06:05:00+00,148
308203261,WN,567,DEN,AMA,51,23:46:00+00,01:08:00+00,00:37:00+00,02:01:00+00,-1274
308202319,WN,567,DAY,DEN,145,20:09:00+00,20:08:00+00,22:34:00+00,22:36:00+00,1
308182426,WN,567,AMA,DAL,49,01:12:00+00,02:31:00+00,02:01:00+00,03:15:00+00,153
308260564,WN,568,STL,TPA,118,16:12:00+00,16:20:00+00,18:10:00+00,18:09:00+00,7
308209094,WN,569,ELP,AUS,77,01:18:00+00,01:13:00+00,02:35:00+00,02:29:00+00,-11
308218756,WN,569,HOU,PHX,131,20:45:00+00,20:40:00+00,22:56:00+00,22:59:00+00,-2
308244003,WN,569,OKC,HOU,66,18:56:00+00,19:01:00+00,20:02:00+00,20:02:00+00,5
308235850,WN,570,MDW,CLE,48,02:09:00+00,02:32:00+00,02:57:00+00,03:16:00+00,42
308259157,WN,570,SLC,MDW,159,22:26:00+00,22:49:00+00,01:05:00+00,01:36:00+00,54
308249691,WN,570,PHX,SLC,70,20:30:00+00,20:48:00+00,21:40:00+00,22:07:00+00,45
308228295,WN,570,LAS,LAX,42,17:22:00+00,17:22:00+00,18:04:00+00,18:00:00+00,-4
308229089,WN,570,LAX,PHX,64,18:48:00+00,18:54:00+00,19:52:00+00,19:50:00+00,4
308264937,WN,570,TPA,LAS,245,12:09:00+00,12:08:00+00,16:14:00+00,16:12:00+00,-3
308229088,WN,571,LAX,PHX,64,02:36:00+00,03:10:00+00,03:40:00+00,04:09:00+00,63
308203976,WN,571,DEN,SJC,127,21:56:00+00,22:25:00+00,00:03:00+00,00:30:00+00,56
308218674,WN,571,HOU,DEN,117,18:50:00+00,18:59:00+00,20:47:00+00,20:59:00+00,21
308244004,WN,571,OKC,HOU,66,17:04:00+00,16:58:00+00,18:10:00+00,17:59:00+00,-17
308260504,WN,571,STL,OKC,65,15:18:00+00,15:18:00+00,16:23:00+00,16:22:00+00,-1
308255476,WN,571,SDF,STL,50,13:38:00+00,13:36:00+00,14:28:00+00,14:20:00+00,-10
308258437,WN,571,SJC,LAX,49,00:52:00+00,01:18:00+00,01:41:00+00,02:11:00+00,56
308189538,WN,572,BNA,PHX,182,22:48:00+00,22:49:00+00,01:50:00+00,02:10:00+00,21
308192894,WN,572,BWI,BNA,82,20:36:00+00,20:36:00+00,21:58:00+00,21:53:00+00,-5
308236017,WN,572,MDW,PIT,58,16:59:00+00,16:57:00+00,17:57:00+00,17:56:00+00,-3
308249841,WN,572,PIT,BWI,39,18:50:00+00,18:43:00+00,19:29:00+00,19:26:00+00,-10
308249706,WN,572,PHX,SMF,94,02:59:00+00,04:11:00+00,04:33:00+00,05:42:00+00,141
308256229,WN,573,SEA,SLC,94,22:20:00+00,22:29:00+00,23:54:00+00,00:11:00+00,-1414
308249653,WN,573,PHX,SEA,141,18:55:00+00,19:08:00+00,21:16:00+00,21:38:00+00,35
308260546,WN,574,STL,RDU,94,00:04:00+00,00:04:00+00,01:38:00+00,01:39:00+00,1
308193037,WN,574,BWI,MCI,134,19:27:00+00,19:30:00+00,21:41:00+00,21:38:00+00,0
308214234,WN,574,GRR,BWI,75,17:17:00+00,17:14:00+00,18:32:00+00,18:29:00+00,-6
308235245,WN,574,MCO,GRR,142,14:17:00+00,14:19:00+00,16:39:00+00,16:40:00+00,3
308203593,WN,575,DEN,IND,122,16:39:00+00,16:39:00+00,18:41:00+00,18:42:00+00,1
308256472,WN,575,SFO,DEN,129,13:13:00+00,13:08:00+00,15:22:00+00,15:18:00+00,-9
308203721,WN,577,DEN,MDW,117,20:04:00+00,20:12:00+00,22:01:00+00,22:14:00+00,21
308260451,WN,578,STL,LAS,177,19:44:00+00,19:58:00+00,22:41:00+00,22:57:00+00,30
308218768,WN,578,HOU,STL,101,17:12:00+00,17:30:00+00,18:53:00+00,19:12:00+00,37
308249426,WN,578,PHX,HOU,145,14:15:00+00,14:16:00+00,16:40:00+00,16:35:00+00,-4
308203500,WN,579,DEN,FLL,211,23:42:00+00,23:53:00+00,03:13:00+00,03:15:00+00,13
308228674,WN,579,LAX,DEN,113,20:36:00+00,20:39:00+00,22:29:00+00,22:41:00+00,15
308259143,WN,579,SLC,LAX,86,17:43:00+00,17:48:00+00,19:09:00+00,19:14:00+00,10
308229100,WN,580,LAX,PHX,64,00:50:00+00,02:07:00+00,01:54:00+00,03:16:00+00,159
308260506,WN,581,STL,OMA,55,20:03:00+00,20:04:00+00,20:58:00+00,20:59:00+00,2
308204037,WN,581,DEN,STL,100,17:43:00+00,17:40:00+00,19:23:00+00,19:17:00+00,-9
308249705,WN,582,PHX,SMF,93,18:54:00+00,18:51:00+00,20:27:00+00,20:23:00+00,-7
308193102,WN,582,BWI,PHX,249,13:42:00+00,13:39:00+00,17:51:00+00,17:46:00+00,-8
308182192,WN,582,ALB,BWI,50,11:38:00+00,11:40:00+00,12:28:00+00,12:33:00+00,7
308251934,WN,583,PVD,FLL,174,11:52:00+00,11:52:00+00,14:46:00+00,14:44:00+00,-2
308234936,WN,585,MCI,BNA,70,11:38:00+00,11:34:00+00,12:48:00+00,12:46:00+00,-6
308193106,WN,585,BWI,PIT,37,16:49:00+00,17:10:00+00,17:26:00+00,17:47:00+00,42
308236057,WN,585,MDW,STL,45,20:08:00+00,20:11:00+00,20:53:00+00,20:55:00+00,5
308249923,WN,585,PIT,MDW,61,18:08:00+00,18:29:00+00,19:09:00+00,19:27:00+00,39
308189540,WN,585,BNA,RDU,71,13:29:00+00,13:27:00+00,14:40:00+00,14:37:00+00,-5
308264895,WN,586,TPA,FLL,40,23:28:00+00,23:40:00+00,00:08:00+00,00:26:00+00,30
308187987,WN,586,BHM,TPA,66,21:38:00+00,21:44:00+00,22:44:00+00,22:51:00+00,13
308228111,WN,586,LAS,BHM,203,17:34:00+00,17:37:00+00,20:57:00+00,21:04:00+00,10
308256242,WN,586,SEA,SMF,86,13:12:00+00,13:10:00+00,14:38:00+00,14:33:00+00,-7
308203516,WN,587,DEN,GEG,110,03:41:00+00,03:36:00+00,05:31:00+00,05:27:00+00,-9
308235863,WN,587,MDW,DEN,117,00:41:00+00,00:51:00+00,02:38:00+00,02:54:00+00,26
308228291,WN,588,LAS,LAX,42,03:23:00+00,03:58:00+00,04:05:00+00,04:38:00+00,68
308213239,WN,588,GEG,BOI,43,23:47:00+00,23:45:00+00,00:30:00+00,00:34:00+00,2
308249414,WN,588,PHX,GEG,129,20:50:00+00,21:04:00+00,22:59:00+00,23:13:00+00,28
308190356,WN,588,BOI,LAS,85,01:13:00+00,01:58:00+00,02:38:00+00,03:18:00+00,85
308258492,WN,589,SJC,SAN,62,20:09:00+00,20:19:00+00,21:11:00+00,21:26:00+00,25
308202150,WN,59,DAL,HOU,46,02:08:00+00,02:43:00+00,02:54:00+00,03:21:00+00,62
308260378,WN,59,STL,DAL,74,00:16:00+00,00:56:00+00,01:30:00+00,02:08:00+00,78
308249186,WN,59,PHL,STL,112,21:25:00+00,22:19:00+00,23:17:00+00,00:06:00+00,-1337
308218746,WN,590,HOU,MSY,47,14:18:00+00,14:12:00+00,15:05:00+00,15:00:00+00,-11
308192852,WN,591,BWI,ALB,59,00:04:00+00,23:56:00+00,01:03:00+00,00:50:00+00,1419
308180379,WN,591,ABQ,BWI,206,19:38:00+00,19:30:00+00,23:04:00+00,22:59:00+00,-13
308234923,WN,591,MCI,ABQ,95,17:08:00+00,17:04:00+00,18:43:00+00,18:47:00+00,0
308189488,WN,591,BNA,MCI,74,15:07:00+00,15:09:00+00,16:21:00+00,16:26:00+00,7
308235819,WN,591,MDW,BNA,57,13:24:00+00,13:21:00+00,14:21:00+00,14:18:00+00,-6
308244180,WN,591,OMA,MDW,63,11:24:00+00,11:22:00+00,12:27:00+00,12:43:00+00,14
308228451,WN,593,LAS,SDF,199,23:01:00+00,01:02:00+00,02:20:00+00,04:31:00+00,-1188
308228150,WN,594,LAS,CMH,216,00:50:00+00,01:28:00+00,04:26:00+00,05:13:00+00,85
308228906,WN,594,LAX,LAS,46,23:05:00+00,23:47:00+00,23:51:00+00,00:35:00+00,-1354
308228521,WN,595,LAS,SMF,65,21:05:00+00,21:49:00+00,22:10:00+00,23:21:00+00,115
308203610,WN,595,DEN,LAS,86,18:50:00+00,19:01:00+00,20:16:00+00,20:28:00+00,23
308254490,WN,596,SAN,OAK,64,04:05:00+00,04:02:00+00,05:09:00+00,05:03:00+00,-9
308192680,WN,596,BUF,LAS,249,20:45:00+00,20:52:00+00,00:54:00+00,01:00:00+00,13
308228437,WN,596,LAS,SAN,46,02:18:00+00,02:25:00+00,03:04:00+00,03:10:00+00,13
308249305,WN,597,PHX,BUR,65,15:30:00+00,15:23:00+00,16:35:00+00,16:27:00+00,-15
308218754,WN,597,HOU,PHX,131,12:06:00+00,12:03:00+00,14:17:00+00,14:11:00+00,-9
308228907,WN,598,LAX,LAS,47,17:00:00+00,17:00:00+00,17:47:00+00,17:49:00+00,2
308259470,WN,598,SMF,LAX,62,15:09:00+00,15:10:00+00,16:11:00+00,16:09:00+00,-1
308235864,WN,599,MDW,DEN,117,21:08:00+00,21:01:00+00,23:05:00+00,23:06:00+00,-6
308206825,WN,599,DSM,MDW,51,19:23:00+00,19:15:00+00,20:14:00+00,20:04:00+00,-18
308218649,WN,6,HOU,DAL,40,12:39:00+00,12:37:00+00,13:19:00+00,13:19:00+00,-2
308200278,WN,6,CRP,HOU,34,11:23:00+00,11:21:00+00,11:57:00+00,11:55:00+00,-4
308218658,WN,60,HOU,DAL,39,02:03:00+00,02:37:00+00,02:42:00+00,03:17:00+00,69
308219024,WN,60,HRL,HOU,47,00:05:00+00,00:04:00+00,00:52:00+00,00:49:00+00,-4
308207215,WN,600,DTW,LAS,222,13:51:00+00,13:51:00+00,17:33:00+00,17:28:00+00,-5
308235901,WN,601,MDW,HOU,119,13:43:00+00,13:38:00+00,15:42:00+00,15:40:00+00,-7
308237397,WN,601,MHT,MDW,117,10:14:00+00,10:40:00+00,12:11:00+00,12:41:00+00,56
308218712,WN,601,HOU,LAS,153,16:58:00+00,16:55:00+00,19:31:00+00,19:28:00+00,-6
308259455,WN,602,SMF,LAS,69,23:40:00+00,01:05:00+00,00:49:00+00,02:06:00+00,-1278
308192803,WN,602,BUR,SMF,54,22:05:00+00,22:34:00+00,22:59:00+00,23:25:00+00,55
308228409,WN,602,LAS,PHX,50,01:27:00+00,03:08:00+00,02:17:00+00,03:57:00+00,201
308256233,WN,603,SEA,SLC,94,17:40:00+00,17:37:00+00,19:14:00+00,19:13:00+00,-4
308259006,WN,603,SLC,BWI,223,20:00:00+00,19:58:00+00,23:43:00+00,23:53:00+00,8
308259463,WN,604,SMF,LAX,61,01:55:00+00,02:43:00+00,02:56:00+00,03:42:00+00,94
308193130,WN,604,BWI,RDU,46,17:14:00+00,17:28:00+00,18:00:00+00,18:15:00+00,29
308221703,WN,604,ISP,BWI,50,15:25:00+00,15:41:00+00,16:15:00+00,16:30:00+00,31
308228676,WN,604,LAX,DEN,113,03:41:00+00,04:17:00+00,05:34:00+00,06:13:00+00,75
308228520,WN,604,LAS,SMF,65,00:05:00+00,00:51:00+00,01:10:00+00,01:56:00+00,92
308249730,WN,606,PHX,STL,162,01:16:00+00,01:52:00+00,03:58:00+00,04:34:00+00,72
308238012,WN,607,MKE,LAS,194,12:16:00+00,12:16:00+00,15:30:00+00,15:30:00+00,0
308254509,WN,607,SAN,PHX,55,18:07:00+00,17:58:00+00,19:02:00+00,18:45:00+00,-26
308228432,WN,607,LAS,SAN,47,16:36:00+00,16:36:00+00,17:23:00+00,17:24:00+00,1
308243549,WN,608,OAK,PDX,74,02:30:00+00,03:03:00+00,03:44:00+00,04:20:00+00,69
308254485,WN,608,SAN,OAK,66,00:27:00+00,01:02:00+00,01:33:00+00,02:04:00+00,66
308249617,WN,608,PHX,SAN,48,23:06:00+00,23:20:00+00,23:54:00+00,00:11:00+00,-1409
308229254,WN,609,LAX,SFO,53,23:18:00+00,00:41:00+00,00:11:00+00,01:30:00+00,-1278
308249480,WN,609,PHX,LAX,55,21:35:00+00,22:42:00+00,22:30:00+00,23:49:00+00,146
308236008,WN,609,MDW,PHX,181,17:24:00+00,17:25:00+00,20:25:00+00,20:25:00+00,1
308222738,WN,609,JAN,MDW,96,14:43:00+00,14:45:00+00,16:19:00+00,16:22:00+00,5
308218705,WN,609,HOU,JAN,58,13:06:00+00,13:11:00+00,14:04:00+00,14:11:00+00,12
308254580,WN,610,SAN,SMF,70,02:50:00+00,03:51:00+00,04:00:00+00,04:56:00+00,117
308180461,WN,610,ABQ,SAN,88,00:31:00+00,01:45:00+00,01:59:00+00,03:09:00+00,144
308202094,WN,610,DAL,ABQ,79,22:25:00+00,23:47:00+00,23:44:00+00,01:12:00+00,-1270
308260373,WN,610,STL,DAL,74,20:22:00+00,21:49:00+00,21:36:00+00,23:05:00+00,176
308264989,WN,610,TPA,PVD,152,12:41:00+00,12:44:00+00,15:13:00+00,15:12:00+00,2
308211340,WN,610,FLL,TPA,43,11:07:00+00,11:11:00+00,11:50:00+00,11:48:00+00,2
308193154,WN,610,BWI,STL,107,17:54:00+00,19:30:00+00,19:41:00+00,21:11:00+00,186
308251908,WN,610,PVD,BWI,54,15:57:00+00,15:57:00+00,16:51:00+00,16:51:00+00,0
308228532,WN,611,LAS,STL,174,02:25:00+00,03:34:00+00,05:19:00+00,06:26:00+00,136
308258417,WN,611,SJC,LAS,69,00:46:00+00,01:42:00+00,01:55:00+00,02:49:00+00,110
308254562,WN,611,SAN,SJC,61,23:11:00+00,23:07:00+00,00:12:00+00,00:04:00+00,-12
308236029,WN,611,MDW,SAN,211,18:36:00+00,18:31:00+00,22:07:00+00,22:05:00+00,-7
308237398,WN,611,MHT,MDW,116,15:39:00+00,15:44:00+00,17:35:00+00,17:41:00+00,11
308235835,WN,612,MDW,BWI,84,01:44:00+00,03:44:00+00,03:08:00+00,05:02:00+00,234
308254704,WN,612,SAT,MDW,140,22:37:00+00,22:41:00+00,00:57:00+00,01:02:00+00,9
308258517,WN,612,SJC,SNA,57,16:20:00+00,16:15:00+00,17:17:00+00,17:16:00+00,-6
308259637,WN,612,SNA,LAS,49,18:00:00+00,18:04:00+00,18:49:00+00,18:56:00+00,11
308185991,WN,612,AUS,SJC,187,12:11:00+00,12:10:00+00,15:18:00+00,15:18:00+00,-1
308193121,WN,614,BWI,PWM,72,20:08:00+00,20:22:00+00,21:20:00+00,21:31:00+00,25
308187941,WN,614,BHM,BWI,99,17:44:00+00,17:44:00+00,19:23:00+00,19:20:00+00,-3
308235815,WN,614,MDW,BHM,75,15:42:00+00,15:39:00+00,16:57:00+00,16:53:00+00,-7
308207286,WN,614,DTW,MDW,44,14:08:00+00,14:10:00+00,14:52:00+00,14:50:00+00,0
308249535,WN,616,PHX,OAK,92,20:17:00+00,20:25:00+00,21:49:00+00,21:59:00+00,18
308218755,WN,616,HOU,PHX,134,17:15:00+00,17:24:00+00,19:29:00+00,19:39:00+00,19
308193127,WN,616,BWI,RDU,46,12:29:00+00,12:38:00+00,13:15:00+00,13:26:00+00,20
308252934,WN,616,RDU,HOU,135,13:53:00+00,13:59:00+00,16:08:00+00,16:24:00+00,22
308259178,WN,621,SLC,OAK,90,02:42:00+00,03:12:00+00,04:12:00+00,04:41:00+00,59
308228513,WN,621,LAS,SLC,54,00:56:00+00,01:45:00+00,01:50:00+00,02:44:00+00,103
308254429,WN,621,SAN,LAS,61,23:16:00+00,23:54:00+00,00:17:00+00,00:49:00+00,70
308258495,WN,621,SJC,SAN,62,21:30:00+00,21:28:00+00,22:32:00+00,22:32:00+00,-2
308249713,WN,622,PHX,SMF,94,15:28:00+00,15:33:00+00,17:02:00+00,17:10:00+00,13
308202113,WN,622,DAL,AUS,34,11:29:00+00,11:30:00+00,12:03:00+00,12:02:00+00,0
308185971,WN,622,AUS,PHX,118,12:34:00+00,12:37:00+00,14:32:00+00,14:32:00+00,3
308186973,WN,624,BDL,BWI,47,11:33:00+00,11:30:00+00,12:20:00+00,12:17:00+00,-6
308229299,WN,624,LAX,SJC,50,22:46:00+00,22:48:00+00,23:36:00+00,23:34:00+00,0
308203641,WN,624,DEN,LAX,115,19:55:00+00,19:52:00+00,21:50:00+00,21:50:00+00,-3
308238035,WN,624,MKE,MSP,49,15:40:00+00,15:35:00+00,16:29:00+00,16:28:00+00,-6
308193065,WN,624,BWI,MKE,97,13:22:00+00,13:25:00+00,14:59:00+00,15:00:00+00,4
308239387,WN,624,MSP,DEN,94,17:15:00+00,17:14:00+00,18:49:00+00,18:49:00+00,-1
308235932,WN,628,MDW,LGA,93,11:25:00+00,11:29:00+00,12:58:00+00,13:04:00+00,10
308180382,WN,632,ABQ,DAL,83,22:17:00+00,22:18:00+00,23:40:00+00,23:46:00+00,7
308235402,WN,634,MCO,SDF,102,15:00:00+00,14:57:00+00,16:42:00+00,16:38:00+00,-7
308260430,WN,636,STL,HOU,94,01:48:00+00,01:47:00+00,03:22:00+00,03:15:00+00,-8
308207477,WN,636,DTW,STL,71,23:41:00+00,23:42:00+00,00:52:00+00,00:44:00+00,-7
308214232,WN,638,GRR,BWI,74,10:45:00+00,10:42:00+00,11:59:00+00,11:57:00+00,-5
308259456,WN,640,SMF,LAS,69,02:59:00+00,03:26:00+00,04:08:00+00,04:29:00+00,48
