Unnamed: 0,airsigmetid,timevalidfromutc,timevalidtoutc,movementdirdegrees,movementspeedknots,hazardtype,hazardseverity,airsigmettype,altitudeminft,altitudemaxft
32,32574,2O13/08/14 11:55:0O+O0,2013-O8-14 15:55:O0+00,,,CONVECTIVE,,OUTLOOK,,
33,32622,2013-08/14 19:54:00+00,2O13/O8/14 22:0O:00+O0,,,MTN OBSCN,,AIRMET,0.0,0.0
34,32601,2013/O8/14 15:45:O0+O0,2013-O8/14 22:00:00+0O,,,MTN OBSCN,,AIRMET,O,0.0
35,32602,2013-08/14 15:45:00+OO,2013-O8/14 22:O0:00+O0,,,IFR,,AIRMET,0.0,O
36,32564,2013-O8-14 09:55:0O+00,2013/O8-14 13:55:OO+O0,,,CONVECTIVE,,OUTLOOK,,
37,32565,2013-08/14 10:55:00+OO,2013/08-14 14:55:0O+00,,,CONVECTIVE,,OUTLOOK,,
38,32567,2013-O8-14 09:45:00+00,2O13/08/14 16:00:OO+00,,,TURB,MOD,AIRMET,0.0,0.0
39,32569,2013-08-14 09:45:O0+00,2013/08-14 16:0O:00+00,,,ICE,MOD,AIRMET,0.0,0.0
40,32571,2013-O8/14 09:45:O0+O0,2013-08-14 16:00:OO+00,,,IFR,,AIRMET,0.0,0.0
41,32572,2O13/08/14 09:45:00+00,2O13-O8-14 16:OO:O0+00,,,MTN OBSCN,,AIRMET,0.0,0.0
42,32573,2013-08/14 O9:45:00+00,2013-08-14 15:45:00+OO,,,MTN OBSCN,,AIRMET,0.0,O
43,32575,2O13-08-14 09:55:00+O0,2O13-08/14 11:55:0O+00,270.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
44,32576,2013/08-14 11:55:O0+OO,2013/08-14 1O:54:59+O0,,,CONVECTIVE,,OUTLOOK,,
45,32577,2O13-08-14 09:55:0O+00,2O13-08/14 10:54:59+O0,270.0,30.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
46,32578,2O13/O8-14 10:55:O0+00,2013-O8-14 12:55:0O+OO,310.0,20.0,CONVECTIVE,LT-MOD,SIGMET,O,O
47,32579,2013-08/14 12:55:00+00,2O13/08/14 16:55:00+OO,,,CONVECTIVE,,OUTLOOK,,
48,32580,2013/O8-14 12:55:00+00,2013-08-14 11:54:59+00,,,CONVECTIVE,,OUTLOOK,,
49,32581,2O13/08/14 11:55:0O+00,2013-08-14 13:55:O0+00,330.0,20.0,CONVECTIVE,LT/MOD,SIGMET,0.0,O
50,32582,2013-08-14 13:55:00+0O,2O13/08-14 17:55:00+00,,,CONVECTIVE,,OUTLOOK,,
51,32583,2013/08-14 1O:55:0O+O0,2013-08-14 11:54:59+00,310.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
52,32584,2013-O8-14 12:55:O0+00,2013-O8-14 14:55:0O+0O,290.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
53,32585,2013/O8-14 14:55:0O+00,2O13-08-14 18:55:00+O0,,,CONVECTIVE,,OUTLOOK,,
54,32586,2013-O8/14 11:55:0O+0O,2013-08/14 12:54:59+0O,330.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
55,32761,2013-08-16 00:55:0O+O0,2013-O8/15 23:54:59+OO,,,CONVECTIVE,,OUTLOOK,,
56,32587,2013/O8-14 13:55:00+00,2013-08-14 12:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
57,32588,2013-08-14 12:55:0O+00,2013/O8-14 13:54:59+O0,310.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
58,32589,2013-08/14 14:55:OO+00,2013/08/14 13:54:59+00,,,CONVECTIVE,,OUTLOOK,,
59,32590,2013-08-14 13:55:0O+OO,2O13-08-14 15:55:00+00,330.0,20.0,CONVECTIVE,LT/MOD,SIGMET,0.0,O
60,32591,2013-08-14 15:55:O0+OO,2013-08-14 19:55:00+00,,,CONVECTIVE,,OUTLOOK,,
61,32592,2013-08-14 15:55:00+00,2013/08/14 14:54:59+00,,,CONVECTIVE,,OUTLOOK,,
62,32593,2O13-08-14 13:55:O0+0O,2013-O8-14 14:54:59+OO,260.0,30.0,CONVECTIVE,LT/MOD,SIGMET,0.0,0.0
63,32637,2O13/O8-14 23:55:0O+00,2013-08/14 22:54:59+00,,,CONVECTIVE,,OUTLOOK,,
64,32594,2O13-O8-14 14:55:0O+00,2013-08-14 16:55:O0+00,310.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
65,32595,2O13-08-14 16:55:OO+O0,2013/08-14 20:55:0O+O0,,,CONVECTIVE,,OUTLOOK,,
66,32596,2O13-O8-14 O9:45:00+00,2O13-08-14 15:44:59+00,,,ICE,MOD,AIRMET,0.0,0.0
67,32597,2O13-08/14 15:45:0O+00,2013-08-14 22:00:0O+0O,,,ICE,MOD,AIRMET,0.0,0.0
68,32598,2013-08-14 09:45:00+0O,2013-O8-14 15:44:59+O0,,,TURB,MOD,AIRMET,O,0.0
69,32599,2013-O8/14 15:45:0O+00,2013/08-14 22:0O:00+00,,,TURB,MOD,AIRMET,O,0.0
70,32600,2013/O8-14 15:45:00+00,2013/O8-14 21:45:00+00,,,MTN OBSCN,,AIRMET,0.0,O
71,32603,2013-08/14 14:55:0O+00,2O13-O8/14 15:54:59+00,310.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
72,32604,2O13-O8/14 16:55:O0+O0,2013-O8/14 15:54:59+O0,,,CONVECTIVE,,OUTLOOK,,
73,32605,2013-08-14 15:55:00+00,2013-O8/14 17:55:0O+OO,310.0,15.0,CONVECTIVE,LT/MOD,SIGMET,0.0,0.0
74,32606,2013/08/14 17:55:O0+00,2013-O8/14 21:55:00+0O,,,CONVECTIVE,,OUTLOOK,,
75,32607,2013/08-14 15:55:00+00,2013-O8-14 16:54:59+00,310.0,20.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
76,32608,2O13-08-14 17:55:0O+0O,2013-08/14 16:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
77,32609,2013-08-14 18:55:00+00,2013/08-14 22:55:O0+0O,,,CONVECTIVE,,OUTLOOK,,
78,32610,2013/O8-14 16:55:O0+O0,2013/O8/14 18:55:00+0O,260.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
79,32611,2013/08-14 18:55:00+OO,2013/O8-14 17:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
80,32612,2013/08-14 17:55:0O+00,2013-08/14 19:55:0O+00,290.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
81,32613,2013-08-14 19:55:00+00,2013-08/14 23:55:OO+0O,,,CONVECTIVE,,OUTLOOK,,
82,32614,2013/O8-14 16:55:00+00,2013-08/14 17:54:59+00,260.0,30.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
83,32615,2013-O8/14 20:55:0O+O0,2013-08-15 0O:55:00+0O,,,CONVECTIVE,,OUTLOOK,,
84,32805,2013-08/16 11:55:00+00,2O13-08-16 12:54:59+O0,,,CONVECTIVE,NONE,SIGMET,,
85,32616,2013/08/14 18:55:0O+0O,2013-O8-14 20:55:O0+00,260.0,30.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
86,32617,2013-08-14 17:55:00+O0,2013-O8-14 18:54:59+00,310.0,20.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
87,32618,2013-08-14 19:55:00+OO,2013-08/14 18:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
88,32619,2013/08-14 19:12:O0+00,2O13-08-14 20:55:0O+00,260.0,30.0,CONVECTIVE,LT/MOD,SIGMET,0.0,0.0
89,32620,2O13-08-14 19:36:O0+00,2013/O8-14 22:00:O0+O0,,,IFR,,AIRMET,0.0,0.0
90,32621,2013/O8-14 19:36:00+0O,2O13-O8-14 22:00:0O+0O,,,MTN OBSCN,,AIRMET,O,O
91,32623,2013-08/14 19:54:00+00,2013-O8-14 22:00:0O+00,,,IFR,,AIRMET,0.0,0.0
92,32624,2O13/O8-14 19:55:00+00,2O13-08-14 21:55:00+00,270.0,15.0,CONVECTIVE,LT/MOD,SIGMET,0.0,0.0
93,32625,2013-O8-14 21:55:00+O0,2013-O8/15 O1:55:0O+OO,,,CONVECTIVE,,OUTLOOK,,
94,32626,2013-O8/14 22:55:OO+00,2013/O8-15 02:55:0O+0O,,,CONVECTIVE,,OUTLOOK,,
95,32627,2O13-08/14 20:55:0O+O0,2013-08-14 22:55:00+0O,270.0,15.0,CONVECTIVE,LT/MOD,SIGMET,O,O
96,32628,2013/08-14 21:45:0O+0O,2013-08/15 04:00:00+00,,,MTN OBSCN,,AIRMET,0.0,O
97,32629,2013-08/14 21:45:0O+00,2013-08-15 04:O0:00+0O,,,IFR,,AIRMET,0.0,0.0
98,32846,2013-08/16 21:45:O0+0O,2013/08/17 O4:O0:00+0O,,,MTN OBSCN,,AIRMET,0.0,O
99,32630,2O13-08/14 21:45:00+OO,2O13/O8/15 04:0O:00+00,,,ICE,MOD,AIRMET,0.0,0.0
100,32631,2O13/O8-14 21:45:0O+0O,2O13-08-15 04:O0:O0+OO,,,TURB,MOD,AIRMET,0.0,0.0
101,32632,2013-O8/14 21:55:00+OO,2013-08-14 23:55:0O+0O,,,CONVECTIVE,NONE,SIGMET,,
102,32633,2O13/08/14 23:55:00+00,2013/08-15 O3:55:OO+00,,,CONVECTIVE,,OUTLOOK,,
103,32634,2013-O8/14 22:O5:00+O0,2O13-08/14 23:55:00+O0,270.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
104,32635,2013-08/14 22:33:00+0O,2013-08-15 04:00:00+0O,,,ICE,MOD,AIRMET,0.0,0.0
105,32636,2O13/08-14 21:55:00+00,2013-08/14 22:54:59+O0,,,CONVECTIVE,NONE,SIGMET,,
106,32638,2O13-O8-15 00:55:O0+0O,2O13-08-15 O4:55:00+0O,,,CONVECTIVE,,OUTLOOK,,
107,32639,2013-08-14 22:05:00+00,2013/O8-14 22:54:59+0O,270.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
108,32640,2013-08/14 22:55:00+00,2013-O8-15 0O:55:00+00,270.0,15.0,CONVECTIVE,LT-MOD,SIGMET,O,O
109,32641,2013-08-14 22:55:00+0O,2013-O8-14 23:54:59+0O,280.0,15.0,CONVECTIVE,LT/MOD,SIGMET,0.0,O
110,32642,2013-08-15 00:55:0O+0O,2013/08/14 23:54:59+O0,,,CONVECTIVE,,OUTLOOK,,
111,32643,2013-O8-15 01:55:00+OO,2013-08-15 05:55:00+0O,,,CONVECTIVE,,OUTLOOK,,
112,32847,2013-08-16 21:45:00+00,2013/O8/17 04:O0:O0+0O,,,IFR,,AIRMET,0.0,0.0
113,32644,2013-08-14 23:55:O0+O0,2013/O8-15 01:55:00+00,270.0,25.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
114,32645,2013-08/15 O0:02:0O+0O,2013-08-15 02:55:00+0O,250.0,20.0,CONVECTIVE,LT/MOD,SIGMET,0.0,O
115,32646,2013-O8/15 00:O2:00+OO,2013-O8/15 01:55:O0+00,270.0,25.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
116,32647,2013-08/15 0O:02:O0+00,2013-08-15 00:54:59+00,280.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
117,32648,2013-O8-15 O2:55:OO+0O,2013-08-15 O6:55:0O+O0,,,CONVECTIVE,,OUTLOOK,,
118,32649,2013-08-15 00:55:00+O0,2013-08-15 02:55:00+00,280.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
119,32650,2013-08-15 O1:55:00+O0,2013-O8-15 00:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
120,32651,2O13-O8/14 23:55:0O+0O,2013-08-15 00:54:59+00,310.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
121,32652,2013/08-15 01:55:00+0O,2013/08/15 03:55:O0+O0,270.0,15.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
122,32653,2013/08-15 03:55:00+00,2O13/O8/15 07:55:00+O0,,,CONVECTIVE,,OUTLOOK,,
123,32654,2013-08-15 O2:55:00+O0,2013-08-15 O4:55:00+00,280.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
124,32655,2O13-O8/15 O4:55:O0+00,2013-08/15 08:55:O0+O0,,,CONVECTIVE,,OUTLOOK,,
125,32656,2013-O8/15 03:45:00+00,2013/08-15 10:0O:00+0O,,,IFR,,AIRMET,0.0,O
126,32657,2013-08-15 03:45:00+00,2013-08/15 O9:45:O0+00,,,MTN OBSCN,,AIRMET,0.0,0.0
127,32658,2013/08-15 03:45:O0+OO,2013/O8-15 10:OO:0O+00,,,MTN OBSCN,,AIRMET,O,0.0
128,32659,2013-08/14 21:45:O0+OO,2O13/08/15 03:44:59+OO,,,MTN OBSCN,,AIRMET,0.0,0.0
129,32705,2O13-O8-15 12:53:OO+OO,2O13-08-15 15:44:59+O0,,,ICE,MOD,AIRMET,O,O
130,32660,2013-08-14 21:45:0O+O0,2013/08-15 03:44:59+00,,,IFR,,AIRMET,0.0,O
131,32661,2013-08-14 21:45:O0+OO,2O13/08-15 03:44:59+O0,,,ICE,MOD,AIRMET,0.0,0.0
132,32662,2013-08-14 22:33:OO+00,2013/08-15 O3:44:59+0O,,,ICE,MOD,AIRMET,0.0,0.0
133,32663,2013-O8-15 03:45:O0+00,2O13-08/15 1O:00:00+00,,,TURB,MOD,AIRMET,0.0,0.0
134,32664,2013/08-14 21:45:0O+00,2013/08-15 O3:44:59+00,,,TURB,MOD,AIRMET,0.0,O
135,32665,2013-08-15 O3:55:O0+OO,2013-08-15 O5:55:0O+00,270.0,20.0,CONVECTIVE,LT/MOD,SIGMET,O,0.0
136,32666,2013-08-15 05:55:00+00,2013-O8-15 09:55:O0+O0,,,CONVECTIVE,,OUTLOOK,,
137,32667,2013/O8-15 03:58:0O+00,2013/08/15 O5:58:OO+00,,,CONVECTIVE,NONE,SIGMET,,
138,32668,2013-08-15 04:55:O0+00,2O13-08-15 O6:55:00+0O,310.0,20.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
139,32669,2013-08-15 O6:55:0O+00,2013-08/15 10:55:OO+00,,,CONVECTIVE,,OUTLOOK,,
140,32670,2013-08/15 05:55:O0+00,2O13-08/15 07:55:0O+00,300.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
141,32671,2013-08-15 07:55:O0+0O,2013/08-15 11:55:00+0O,,,CONVECTIVE,,OUTLOOK,,
142,32672,2013-08-15 O8:55:O0+O0,2013/08-15 12:55:0O+00,,,CONVECTIVE,,OUTLOOK,,
143,32673,2O13/08-15 06:55:00+00,2O13-O8-15 08:55:00+0O,320.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
144,32674,2013-O8-15 O7:55:0O+O0,2013/08-15 O9:55:0O+O0,300.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
145,32675,2O13/08/15 09:55:00+00,2013/08/15 13:55:O0+O0,,,CONVECTIVE,,OUTLOOK,,
146,32676,2O13-08-15 1O:55:00+0O,2013-08/15 14:55:0O+00,,,CONVECTIVE,,OUTLOOK,,
147,32677,2013/08-15 08:55:00+00,2013/08-15 1O:55:00+00,250.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
148,32678,2O13-08/15 O9:45:0O+0O,2013-08/15 16:O0:00+00,,,TURB,MOD,AIRMET,0.0,0.0
149,32679,2O13-08/15 09:45:O0+O0,2013/08-15 16:0O:0O+OO,,,IFR,,AIRMET,O,0.0
150,32680,2O13/08-15 O9:45:00+00,2013/08/15 15:45:O0+O0,,,MTN OBSCN,,AIRMET,O,0.0
151,32701,2013-08-15 15:55:00+0O,2013-08-15 14:54:59+00,,,CONVECTIVE,,OUTLOOK,,
152,32681,2013-O8-15 O9:45:00+0O,2O13-O8-15 16:OO:00+00,,,ICE,MOD,AIRMET,O,0.0
153,32682,2013-08/15 09:45:00+OO,2O13-08/15 16:00:00+00,,,MTN OBSCN,,AIRMET,O,0.0
154,32683,2013-08-15 03:45:0O+00,2O13-O8-15 O9:44:59+O0,,,IFR,,AIRMET,O,0.0
155,32684,2013/08-15 O3:45:00+00,2013/08-15 09:44:59+O0,,,TURB,MOD,AIRMET,0.0,0.0
156,32685,2013-08-15 03:45:00+00,2O13-08-15 O9:44:59+O0,,,MTN OBSCN,,AIRMET,0.0,0.0
157,32686,2O13-08-15 11:55:O0+00,2013-O8/15 15:55:0O+00,,,CONVECTIVE,,OUTLOOK,,
158,32687,2013-O8-15 09:55:0O+0O,2O13-O8-15 11:55:OO+O0,340.0,10.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
159,32688,2O13/08-15 1O:55:O0+0O,2013-O8-15 12:55:0O+O0,310.0,35.0,CONVECTIVE,LT/MOD,SIGMET,0.0,O
160,32689,2013-08/15 12:55:00+OO,2O13-O8/15 16:55:00+0O,,,CONVECTIVE,,OUTLOOK,,
161,32690,2013-08/15 10:55:OO+00,2013-08-15 11:54:59+O0,250.0,20.0,CONVECTIVE,LT/MOD,SIGMET,0.0,0.0
162,32731,2013/O8-15 19:11:00+0O,2013-08-15 22:O0:OO+00,,,IFR,,AIRMET,O,0.0
163,32691,2O13/08/15 12:55:O0+00,2013/08-15 11:54:59+00,,,CONVECTIVE,,OUTLOOK,,
164,32692,2013-08-15 13:55:O0+00,2O13/08-15 17:55:00+00,,,CONVECTIVE,,OUTLOOK,,
165,32704,2O13-O8/15 15:45:O0+0O,2O13-08/15 22:0O:00+00,,,ICE,MOD,AIRMET,O,O
166,32693,2O13/O8/15 11:55:00+OO,2013/08/15 13:55:00+00,300.0,15.0,CONVECTIVE,LT/MOD,SIGMET,0.0,0.0
167,32694,2O13/08-15 12:16:O0+O0,2O13-O8-15 16:00:00+0O,,,IFR,,AIRMET,0.0,O
168,32695,2O13/O8/15 14:55:0O+O0,2013-08/15 18:55:0O+00,,,CONVECTIVE,,OUTLOOK,,
169,32696,2013-08/15 12:55:00+O0,2O13-08-15 14:55:00+0O,160.0,15.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
170,32697,2013-08-15 12:53:00+OO,2013-O8-15 16:00:O0+O0,,,ICE,MOD,AIRMET,0.0,O
171,32698,2013-08-15 13:55:O0+00,2O13-08-15 15:55:O0+00,160.0,15.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
172,32699,2O13/08/15 15:55:00+OO,2O13-08-15 19:55:00+00,,,CONVECTIVE,,OUTLOOK,,
173,32700,2013-O8/15 14:55:0O+00,2O13/O8-15 16:55:0O+O0,160.0,15.0,CONVECTIVE,LT-MOD,SIGMET,O,0.0
174,32702,2013/08-15 13:55:00+00,2O13-O8-15 14:54:59+00,250.0,25.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
175,32703,2013-08-15 16:55:00+O0,2O13-08/15 20:55:O0+OO,,,CONVECTIVE,,OUTLOOK,,
176,32706,2O13-O8-15 09:45:0O+00,2013/08-15 15:44:59+00,,,TURB,MOD,AIRMET,O,0.0
177,32707,2013-08-15 12:16:0O+00,2013-08-15 15:44:59+0O,,,IFR,,AIRMET,O,0.0
178,32708,2013/08/15 09:45:O0+00,2O13-08/15 15:44:59+OO,,,MTN OBSCN,,AIRMET,0.0,0.0
179,32709,2O13/08/15 O9:45:00+00,2013-08/15 15:44:59+00,,,IFR,,AIRMET,0.0,0.0
180,32710,2013-08-15 15:45:00+0O,2013-08-15 22:00:OO+O0,,,MTN OBSCN,,AIRMET,0.0,0.0
181,32711,2013/08/15 15:45:O0+0O,2013-O8/15 21:45:O0+00,,,MTN OBSCN,,AIRMET,0.0,O
182,32712,2O13-08/15 15:45:0O+00,2013-08-15 22:00:00+0O,,,TURB,MOD,AIRMET,O,O
183,32713,2013-08-15 15:45:00+0O,2O13-O8-15 22:OO:00+O0,,,IFR,,AIRMET,O,0.0
184,32714,2013-O8/15 17:55:0O+O0,2013/08-15 21:55:00+O0,,,CONVECTIVE,,OUTLOOK,,
185,32715,2013-08-15 15:55:0O+00,2O13-08-15 17:55:O0+O0,250.0,25.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
186,32716,2013-08-15 17:55:00+00,2013-O8-15 16:54:59+00,,,CONVECTIVE,,OUTLOOK,,
187,32745,2O13-O8-15 15:45:00+O0,2O13-08-15 21:44:59+0O,,,MTN OBSCN,,AIRMET,0.0,0.0
188,32717,2013-08-15 15:55:00+00,2013/08/15 16:54:59+OO,250.0,25.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
189,32718,2013-08/15 16:51:OO+00,2O13-08/15 22:O0:0O+00,,,IFR,,AIRMET,O,0.0
190,32719,2O13-08-15 16:55:OO+O0,2013-08-15 18:55:0O+0O,220.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
191,32749,2013-08-15 18:52:00+O0,2013/08-15 21:44:59+00,,,MTN OBSCN,,AIRMET,0.0,0.0
192,32720,2O13-08-15 18:55:00+00,2013-08-15 22:55:00+00,,,CONVECTIVE,,OUTLOOK,,
193,32721,2O13-O8/15 19:55:0O+0O,2013/08/15 23:55:O0+O0,,,CONVECTIVE,,OUTLOOK,,
194,32722,2O13-O8/15 17:55:O0+00,2013-O8-15 19:55:O0+O0,,,CONVECTIVE,NONE,SIGMET,,
195,32723,2013/08-15 16:55:00+00,2013/08-15 17:54:59+00,220.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
196,32724,2013-08-15 18:55:00+00,2O13-08/15 17:54:59+O0,,,CONVECTIVE,,OUTLOOK,,
197,32725,2013/08-15 18:55:00+O0,2013-O8/15 20:55:O0+00,,,CONVECTIVE,NONE,SIGMET,,
198,32726,2013-08-15 20:55:00+OO,2O13/O8-16 00:55:OO+00,,,CONVECTIVE,,OUTLOOK,,
199,32727,2O13/O8-15 19:55:O0+00,2013/08-15 18:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
200,32728,2013-08-15 17:55:00+0O,2O13-08-15 18:54:59+00,,,CONVECTIVE,NONE,SIGMET,,
201,32729,2O13-08-15 18:52:0O+0O,2O13-08-15 22:0O:0O+0O,,,MTN OBSCN,,AIRMET,0.0,0.0
202,32730,2013/O8-15 18:52:00+0O,2O13-08-15 22:00:0O+O0,,,IFR,,AIRMET,O,0.0
203,32732,2O13/08/15 19:55:00+0O,2013-08/15 21:55:00+OO,300.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
204,32733,2O13-08-15 21:55:00+0O,2013/O8-16 01:55:O0+00,,,CONVECTIVE,,OUTLOOK,,
205,32734,2013-08-15 18:55:00+00,2013/08-15 19:54:59+0O,,,CONVECTIVE,NONE,SIGMET,,
206,32735,2013-08-15 20:55:OO+O0,2013/08/15 19:54:59+0O,,,CONVECTIVE,,OUTLOOK,,
207,32736,2013/O8-15 2O:55:O0+O0,2013/O8-15 22:55:0O+OO,260.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,0.0
208,32737,2013-08-15 22:55:00+00,2013/08-16 02:55:0O+0O,,,CONVECTIVE,,OUTLOOK,,
209,32738,2O13-O8-15 19:55:0O+00,2013/08-15 20:54:59+OO,300.0,20.0,CONVECTIVE,LT-MOD,SIGMET,0.0,O
210,32739,2O13-O8-15 21:55:00+00,2013/08-15 20:54:59+00,,,CONVECTIVE,,OUTLOOK,,
211,32740,2O13-08-15 21:45:0O+00,2013-08-16 O4:00:O0+0O,,,ICE,MOD,AIRMET,0.0,0.0
